1123
"Runtime: 0 hours, 24 minutes and 53 seconds"
Runs: 100
Average moves: 7919.04
Least moves: 1123
"Moves: [9757, 9257, 9590, 9544, 5916, 9637, 10273, 2092, 9684, 9768, 9060, 9666, 8736, 9250, 4381, 9968, 9753, 4555, 9585, 9347, 2183, 4163, 6096, 9482, 9228, 6040, 9982, 10388, 8995, 10165, 10204, 5477, 9815, 10035, 7319, 8001, 6237, 10131, 2374, 2932, 8963, 9646, 9799, 9431, 3513, 7352, 9257, 9213, 9619, 9343, 4231, 9663, 9015, 7499, 5349, 2591, 9616, 4843, 9680, 9796, 5845, 10007, 9369, 10176, 7627, 6578, 9764, 8260, 7330, 5289, 10051, 8312, 1123, 9344, 4453, 9866, 7288, 9500, 9966, 9930, 10026, 3693, 9717, 9777, 3752, 4329, 9942, 9670, 9520, 9598, 4960, 2716, 9895, 10116, 9589, 5868, 10023, 6906, 9470, 4774]"
car,move
G,-1
B,-2
H,2
E,-3
F,-1
B,1
F,1
E,1
E,2
H,-2
A,-1
E,-3
A,1
A,-2
A,1
H,-1
H,2
A,1
E,1
H,1
H,-3
H,3
B,-1
E,2
H,-1
H,-2
E,-1
H,2
B,3
A,-2
A,2
E,1
B,-3
E,-2
E,2
E,-2
H,-1
E,2
H,-1
G,1
G,1
G,-1
H,2
H,1
B,2
H,-2
A,-2
A,2
H,-1
F,-1
A,-2
G,-2
A,-1
H,2
B,1
B,-2
H,-3
H,4
E,-3
H,-3
D,-1
F,1
H,3
H,-1
E,1
C,1
H,-2
A,1
C,-1
C,2
C,-2
H,2
H,1
F,-1
H,-3
H,1
E,1
H,-1
C,3
E,-1
E,1
B,1
H,1
F,1
H,1
C,-2
H,-1
C,1
H,2
H,-1
H,-2
C,-1
E,1
H,3
A,-1
B,-1
H,-2
E,-1
E,-2
A,1
E,1
H,1
E,2
E,-3
C,-1
H,-1
C,2
H,2
E,1
C,-2
H,-3
E,2
H,2
A,-1
B,2
D,1
B,-1
D,-1
C,1
B,-1
H,1
B,1
F,-1
B,1
X,1
H,-1
C,-1
X,-1
F,1
F,-1
B,-2
H,-1
C,1
H,-2
E,-3
C,2
E,1
C,-1
B,-1
C,-1
E,2
H,4
E,-2
H,-2
E,2
H,-1
F,1
C,-1
D,-3
B,1
B,-1
D,2
D,1
E,-3
B,1
E,3
H,1
D,1
B,-1
B,1
E,-2
A,1
G,1
G,-1
E,-1
G,1
A,2
E,2
E,1
H,-1
E,-1
H,2
E,1
F,-1
A,-3
E,-3
G,1
A,1
A,1
A,1
H,1
A,-3
B,-1
B,1
B,-1
B,1
G,-2
E,2
D,-1
F,1
H,-2
C,2
F,-1
H,1
E,-2
H,1
E,1
A,1
C,-2
A,-1
E,-1
D,1
G,1
E,1
H,-1
E,1
B,1
A,1
E,1
G,-1
B,-1
H,-1
A,-1
H,2
B,2
B,-2
B,2
G,3
G,-3
B,-1
H,-4
A,1
A,-1
E,-1
H,3
H,-1
B,-2
E,-1
E,1
D,-2
H,-2
C,1
H,3
D,-1
C,-1
H,1
E,1
D,1
C,1
F,1
C,-1
E,-1
E,1
F,-1
D,1
F,1
C,1
D,-2
E,-1
G,1
G,-1
H,-2
C,2
H,-1
C,-3
H,1
H,2
E,-1
F,-1
H,-3
F,1
F,-1
D,2
C,3
H,-1
H,3
C,-1
H,-2
H,-1
D,-1
C,-1
D,1
H,1
H,2
D,-1
F,1
C,2
D,-2
E,-1
B,1
H,-2
E,1
E,-1
C,-3
H,3
A,1
C,2
H,-1
C,-2
H,-2
A,-1
C,3
G,2
A,4
H,2
C,-1
A,-2
A,2
G,-2
H,1
E,2
E,-1
E,1
H,-1
B,2
B,-3
B,2
G,1
H,1
A,-2
B,1
X,1
C,-1
A,1
E,1
X,-1
H,-1
C,-1
B,-1
B,-2
B,1
H,-2
G,1
H,3
A,-2
G,-2
B,2
H,-1
E,-1
C,2
C,1
C,-2
H,1
B,-1
G,1
E,1
G,2
B,-1
G,-2
B,1
H,-3
A,-1
H,2
A,2
A,2
A,-3
G,-1
H,1
H,-1
B,1
G,1
A,-1
G,1
A,4
G,-1
A,-4
A,3
H,1
E,-1
B,-3
B,3
A,-2
B,-2
B,1
A,-1
A,4
H,-1
A,-4
A,2
H,-2
A,1
A,-3
A,1
C,2
C,-2
C,1
A,-1
C,-1
H,1
H,2
C,-1
H,-3
H,2
G,-1
B,1
C,3
A,1
B,-2
E,-1
C,-3
H,-2
E,1
G,1
C,1
E,-1
G,-1
C,2
H,2
C,-3
C,2
C,-1
C,-1
E,1
H,-2
E,-1
E,1
C,3
C,-1
E,-2
H,2
A,-1
G,2
A,2
A,2
H,-1
H,-1
C,1
B,-1
C,-2
G,-2
H,2
H,-1
H,2
E,1
D,2
D,-2
D,1
E,1
H,-1
C,2
D,2
B,3
B,-3
B,1
B,2
C,-2
X,1
F,-4
X,-1
B,-3
E,-2
B,1
H,-2
B,-1
E,-1
C,2
D,-1
H,2
C,-2
C,2
H,-2
D,1
D,-3
H,-1
D,1
E,2
E,-2
D,2
B,3
C,-1
C,-1
C,1
C,1
B,-3
B,1
B,-1
D,-3
H,3
H,-2
E,3
E,-1
C,-2
D,1
C,1
D,1
C,1
D,-2
D,3
D,-1
C,-2
E,-2
H,3
E,2
E,-2
H,-3
H,3
E,1
H,-4
D,-2
G,3
B,1
A,-2
A,-1
C,-1
A,1
E,-1
A,-1
A,1
C,3
B,2
X,3
B,-1
F,1
B,1
A,-2
B,-3
C,-3
D,1
D,-1
D,1
E,1
D,-1
C,2
H,1
C,1
X,1
